"","year","State","Politician","Politician_Party","Politician_Vote_Share","Opp","Opp_Party","Opp_Vote_Share","Unopposed","Wiki_Missing","Close_Election","Leg_Body"
"801","1980","Nevada","Paul Laxalt","200",58.5,"Mary Gojack ","100",37.4,0,0,0,1
"802","1982","Nevada","Chic Hecht","200",50.1,"
Howard Cannon ","100",47.7,0,0,0,1
"803","1986","Nevada","Harry Reid","100",50,"
James David Santini ","200",44.5,0,0,0,1
"804","1988","Nevada","Richard Bryan","100",51.3,"
Chic Hecht ","200",47.1,0,0,0,1
"805","1992","Nevada","Harry Reid","100",51,"
Demar Dahl ","200",40.2,0,0,0,1
"806","1994","Nevada","Richard Bryan","100",50.9,"
Hal Furman ","200",1.8,0,0,0,1
"807","1998","Nevada","Harry Reid","100",47.9,"
John Ensign ","200",47.8,0,0,1,1
"808","2000","Nevada","John Ensign","200",55.1,"
Edward M. Bernstein ","100",39.7,0,0,0,1
"809","2004","Nevada","Harry Reid","100",61.1,"
Richard Ziser ","200",35.1,0,0,0,1
"810","2006","Nevada","John Ensign","200",55.4,"
Jack Carter ","100",1.4,0,0,0,1
"811","2010","Nevada","Harry Reid","100",50.2,"
Sharron Angle ","200",44.6,0,0,0,1
"812","2012","Nevada","Dean Heller","200",45.9,"
Shelley Berkley ","100",44.7,0,0,1,1
"813","2016","Nevada","Catherine Cortez Masto","100",47.1,"
Joe Heck ","200",44.7,0,0,0,1
"814","2018","Nevada","Jacky Rosen","100",50.4,"Dean Heller ","200",45.4,0,0,0,1
"815","1934","Nebraska","Richard C. Hunter","100",56.45,"
J.H. Kemp ","200",43.55,0,0,0,1
"816","1952","Nebraska","Dwight Griswold","200",63.6,"
William Ritchie ","100",36.4,0,0,0,1
"817","1954","Nebraska","Roman L. Hruska","200",60.9,"
James F. Green ","100",39.1,0,0,0,1
"818","1954","Nebraska","Hazel H. Abel","200",57.8,"
William H. Meier ","100",42.2,0,0,0,1
"819","1918","Nebraska","George W. Norris,","200",54.52,"
John H. Morehead, ","100",45.49,0,0,0,1
"820","1922","Nebraska","Robert B. Howell","200",56.8,"
Gilbert M. Hitchcock ","100",38.2,0,0,0,1
"821","1924","Nebraska","George W. Norris","200",62.4,"
J. J. Thomas ","100",37.6,0,0,0,1
"822","1928","Nebraska","Robert B. Howell","200",61.3,"
Richard L. Metcalfe ","100",38.7,0,0,0,1
"823","1934","Nebraska","Edward R. Burke","100",55.3,"
Robert G. Simmons ","200",42.9,0,0,0,1
"824","1936","Nebraska","George W. Norris","Independent",43.8,"Robert G. Simmons ","200",37.8,0,0,0,1
"825","1940","Nebraska","Hugh Butler","200",57,"
R. L. Cochran ","100",41.5,0,0,0,1
"826","1942","Nebraska","Kenneth S. Wherry","200",49,"George W. Norris ","Independent",28.6,0,0,0,1
"827","1946","Nebraska","Hugh Butler","200",70.8,"John E. Mekota ","100",29.2,0,0,0,1
"828","1948","Nebraska","Kenneth S. Wherry","200",56.7,"Terry Carpenter ","100",43.3,0,0,0,1
"829","1952","Nebraska","Hugh Butler","200",69.1,"
Stanley D. Long ","100",27.8,0,0,0,1
"830","1954","Nebraska","Carl T. Curtis","200",61.1,"
Keith Neville ","100",38.9,0,0,0,1
"831","1958","Nebraska","Roman L. Hruska","200",55.6,"
Frank B. Morrison ","100",44.4,0,0,0,1
"832","1960","Nebraska","Carl T. Curtis","200",58.9,"
Robert B. Conrad ","100",41.1,0,0,0,1
"833","1964","Nebraska","Roman L. Hruska","200",61.4,"Raymond W. Arndt ","100",38.6,0,0,0,1
"834","1966","Nebraska","Carl Curtis","200",61.2,"
Frank B. Morrison ","100",38.8,0,0,0,1
"835","1970","Nebraska","Roman Hruska","200",52.5,"Frank B. Morrison ","100",47.5,0,0,0,1
"836","1972","Nebraska","Carl Curtis","200",53.1,"Terry Carpenter ","100",46.8,0,0,0,1
"837","1976","Nebraska","Edward Zorinsky","100",52.4,"John Y. McCollister ","200",47.5,0,0,0,1
"838","1978","Nebraska","J. James Exon","100",67.6,"Donald Shasteen ","200",32.3,0,0,0,1
"839","1982","Nebraska","Edward Zorinsky","100",66.6,"
Jim Keck ","200",28.5,0,0,0,1
"840","1984","Nebraska","J. James Exon","100",51.9,"
Nancy Hoch ","200",48,0,0,0,1
"841","1988","Nebraska","Bob Kerrey","100",56.7,"
David Karnes ","200",41.7,0,0,0,1
"842","1990","Nebraska","J. James Exon","100",59.1,"
Hal Daub ","200",40.9,0,0,0,1
"843","1996","Nebraska","Chuck Hagel","200",56.1,"
Ben Nelson ","100",41.7,0,0,0,1
"844","2002","Nebraska","Chuck Hagel","200",82.8,"
Charlie A. Matulka ","100",14.6,0,0,0,1
"845","2006","Nebraska","Ben Nelson","100",63.9,"
Pete Ricketts ","200",36.1,0,0,0,1
"846","2008","Nebraska","Mike Johanns","200",57.5,"
Scott Kleeb ","100",40.1,0,0,0,1
"847","2012","Nebraska","Deb Fischer","200",57.8,"
Bob Kerrey ","100",42.2,0,0,0,1
"848","2014","Nebraska","Ben Sasse","200",64.4,"
David Domina ","100",31.5,0,0,0,1
"849","2018","Nebraska","Deb Fischer","200",57.7,"
Jane Raybould ","100",38.6,0,0,0,1
"850","1934","Montana","James E. Murray","100",59.6,"
Scott Leavitt ","200",39.5,0,0,0,1
"851","1918","Montana","Thomas J. Walsh,","100",41.07,"
Oscar Lanstrum, ","200",35.79,0,0,0,1
"852","1922","Montana","Burton K. Wheeler","100",55.4,"
Carl W. Riddick ","200",NA,0,0,NA,1
"853","1924","Montana","Thomas J. Walsh","100",52.8,"
Frank B. Linderman ","200",42.4,0,0,0,1
"854","1928","Montana","Burton K. Wheeler","100",53.2,"
Joseph M. Dixon ","200",46.8,0,0,0,1
"855","1934","Montana","Burton K. Wheeler","100",70.1,"
George M. Bourquin ","200",28.7,0,0,0,1
"856","1936","Montana","James E. Murray","100",55,"Thomas O. Larson ","200",27.1,0,0,0,1
"857","1940","Montana","Burton K. Wheeler","100",73.4,"
E. K. Cheadle ","200",26.6,0,0,0,1
"858","1942","Montana","James E. Murray","100",49.1,"Wellington D. Rankin ","200",48.4,0,0,1,1
"859","1946","Montana","Zales N. Ecton","200",53.5,"Leif Erickson ","100",45.4,0,0,0,1
"860","1948","Montana","James E. Murray","100",56.7,"Tom J. Davis ","200",42.7,0,0,0,1
"861","1952","Montana","Mike Mansfield","100",50.8,"
Zales N. Ecton ","200",48.6,0,0,0,1
"862","1954","Montana","James E. Murray","100",50.4,"
Wesley A. D'Ewart ","200",49.6,0,0,1,1
"863","1958","Montana","Mike Mansfield","100",76.2,"
Lou W. Welch ","200",23.8,0,0,0,1
"864","1960","Montana","Lee Metcalf","100",50.7,"
Orvin B. Fjare ","200",49.3,0,0,1,1
"865","1964","Montana","Mike Mansfield","100",64.5,"Alex Blewett ","200",35.5,0,0,0,1
"866","1966","Montana","Lee Metcalf","100",53.2,"
Tim M. Babcock ","200",46.8,0,0,0,1
"867","1970","Montana","Mike Mansfield","100",60.5,"Harold E. Wallace ","200",39.5,0,0,0,1
"868","1972","Montana","Lee Metcalf","100",52,"Henry S. Hibbard ","200",48.1,0,0,0,1
"869","1976","Montana","John Melcher","100",64.2,"Stanley C. Burger ","200",35.8,0,0,0,1
"870","1978","Montana","Max Baucus","100",55.7,"Larry Williams ","200",44.3,0,0,0,1
"871","1982","Montana","John Melcher","100",54.4,"
Larry R. Williams ","200",41.7,0,0,0,1
"872","1984","Montana","Max Baucus","100",56.9,"
Chuck Cozzens ","200",40.7,0,0,0,1
"873","1988","Montana","Conrad Burns","200",51.9,"
John Melcher ","100",48.1,0,0,0,1
"874","1990","Montana","Max Baucus","100",68.1,"
Allen C. Kolstad ","200",29.4,0,0,0,1
"875","1994","Montana","Conrad Burns","200",62.4,"
Jack Mudd ","100",NA,0,0,NA,1
"876","1996","Montana","Max Baucus","100",49.5,"
Dennis Rehberg ","200",44.7,0,0,0,1
"877","2000","Montana","Conrad Burns","200",50.6,"
Brian Schweitzer ","100",47.2,0,0,0,1
"878","2002","Montana","Max Baucus","100",62.7,"
Mike Taylor ","200",31.7,0,0,0,1
"879","2006","Montana","Jon Tester","100",49.2,"
Conrad Burns ","200",48.3,0,0,1,1
"880","2008","Montana","Max Baucus","100",72.9,"
Bob Kelleher ","200",27.1,0,0,0,1
"881","2012","Montana","Jon Tester","100",48.6,"
Denny Rehberg ","200",44.9,0,0,0,1
"882","2014","Montana","Steve Daines","200",57.8,"
Amanda Curtis ","100",40.1,0,0,0,1
"883","2018","Montana","Jon Tester","100",50.3,"
Matthew Rosendale ","200",46.8,0,0,0,1
"884","1918","Missouri","Selden P. Spencer,","200",52.39,"
Joseph W. Folk, ","100",46.29,0,0,0,1
"885","1926","Missouri","Harry B. Hawes","100",52.1,"George H. Williams ","200",47.9,0,0,0,1
"886","2002","Missouri","Jim Talent","200",49.8,"
Jean Carnahan ","100",48.7,0,0,1,1
"887","1960","Missouri","Edward V. Long","100",53.2,"
Lon Hocker ","200",46.8,0,0,0,1
"888","1920","Missouri","Selden P. Spencer,","200",53.7,"
Breckenridge Long, ","100",44.5,0,0,0,1
"889","1922","Missouri","James A. Reed","100",51.9,"
R. R. Brewster ","200",47.3,0,0,0,1
"890","1926","Missouri","Harry B. Hawes","100",51.3,"George H. Williams ","200",47.7,0,0,0,1
"891","1928","Missouri","Roscoe C. Patterson","200",51.9,"
Charles M. Hay ","100",47.9,0,0,0,1
"892","1932","Missouri","Bennett Champ Clark","100",63.2,"
Henry Kiel ","200",35.9,0,0,0,1
"893","1934","Missouri","Harry S. Truman","100",59.5,"
Roscoe C. Patterson ","200",39.7,0,0,0,1
"894","1938","Missouri","Bennett Champ Clark","100",60.7,"Harry S. Caulfield ","200",39.2,0,0,0,1
"895","1940","Missouri","Harry S. Truman","100",51.2,"
Manvel H. Davis ","200",48.7,0,0,0,1
"896","1944","Missouri","Forrest C. Donnell","200",50,"Roy McKittrick ","100",49.9,0,0,1,1
"897","1946","Missouri","James P. Kem","200",52.7,"Frank P. Briggs ","100",47.1,0,0,0,1
"898","1950","Missouri","Thomas C. Hennings Jr.","100",53.6,"
Forrest C. Donnell ","200",46.4,0,0,0,1
"899","1952","Missouri","Stuart Symington","100",54,"
James P. Kem ","200",45.9,0,0,0,1
"900","1956","Missouri","Thomas C. Hennings Jr.","100",56.4,"
Herbert Douglas ","200",43.6,0,0,0,1
"901","1958","Missouri","Stuart Symington","100",66.5,"
Hazel Palmer ","200",33.6,0,0,0,1
"902","1962","Missouri","Edward V. Long","100",54.6,"Crosby Kemper ","200",45.4,0,0,0,1
"903","1964","Missouri","Stuart Symington","100",66.6,"Jean P. Bradshaw ","200",33.4,0,0,0,1
"904","1968","Missouri","Thomas Eagleton","100",51.1,"Thomas B. Curtis ","200",48.9,0,0,0,1
"905","1970","Missouri","Stuart Symington","100",51.1,"John Danforth ","200",48.1,0,0,0,1
"906","1974","Missouri","Thomas Eagleton","100",60.1,"Thomas B. Curtis ","200",39.3,0,0,0,1
"907","1976","Missouri","John Danforth","200",56.9,"Warren E. Hearnes ","100",42.5,0,0,0,1
"908","1980","Missouri","Thomas Eagleton","100",52,"Gene McNary ","200",47.7,0,0,0,1
"909","1982","Missouri","John Danforth","200",50.8,"
Harriett Woods ","100",49.1,0,0,1,1
"910","1986","Missouri","Kit Bond","200",52.6,"
Harriett Woods ","100",47.4,0,0,0,1
"911","1988","Missouri","John Danforth","200",67.7,"
Jay Nixon ","100",31.7,0,0,0,1
"912","1992","Missouri","Kit Bond","200",51.9,"
Geri Rothman-Serot ","100",44.9,0,0,0,1
"913","1994","Missouri","John Ashcroft","200",59.8,"
Alan Wheat ","100",35.7,0,0,0,1
"914","1998","Missouri","Kit Bond","200",52.7,"
Jay Nixon ","100",43.8,0,0,0,1
"915","2000","Missouri","Mel Carnahan","100",50.4,"
John Ashcroft ","200",48.4,0,0,1,1
"916","2006","Missouri","Claire McCaskill","100",49.6,"
Jim Talent ","200",47.3,0,0,0,1
"917","2010","Missouri","Roy Blunt","200",54.3,"
Robin Carnahan ","100",40.6,0,0,0,1
"918","2012","Missouri","Claire McCaskill","100",54.8,"
Todd Akin ","200",NA,0,0,NA,1
"919","2016","Missouri","Roy Blunt","200",49.3,"
Jason Kander ","100",46.2,0,0,0,1
"920","2018","Missouri","Josh Hawley","200",51.4,"
Claire McCaskill ","100",45.6,0,0,0,1
"921","1946","Mississippi","John C. Stennis","100",26.9,"William M. Colmer ","100",23.6,0,0,0,1
"922","2008","Mississippi","Roger Wicker","200",55,"
Ronnie Musgrove ","100",45,0,0,0,1
"923","2018","Mississippi","Cindy Hyde-Smith","200",53.6,"
Mike Espy ","100",46.4,0,0,0,1
"924","1918","Mississippi","Pat Harrison,","100",95.04,"
Summer W. Rose, ","Socialist",4.96,0,0,0,1
"925","1922","Mississippi","Hubert D. Stephens","100",92.8,"
John C. Cook ","200",5.3,0,0,0,1
"926","1924","Mississippi","Pat Harrison","100",NA,NA,NA,NA,1,0,NA,1
"927","1928","Mississippi","Hubert D. Stephens","100",NA,NA,NA,NA,1,0,NA,1
"928","1934","Mississippi","Theodore G. Bilbo","100",NA,NA,NA,NA,1,0,NA,1
"929","1936","Mississippi","Pat Harrison","100",NA,NA,NA,NA,1,0,NA,1
"930","1940","Mississippi","Theodore G. Bilbo","100",NA,NA,NA,NA,1,0,NA,1
"931","1942","Mississippi","James O. Eastland","100",NA,NA,NA,NA,1,0,NA,1
"932","1946","Mississippi","Theodore G. Bilbo","100",NA,NA,NA,NA,1,0,NA,1
"933","1948","Mississippi","James O. Eastland","100",NA,NA,NA,NA,1,0,NA,1
"934","1952","Mississippi","John C. Stennis","100",NA,NA,NA,NA,1,0,NA,1
"935","1954","Mississippi","James O. Eastland","100",NA,NA,NA,NA,1,0,NA,1
"936","1958","Mississippi","John C. Stennis","100",NA,NA,NA,NA,1,0,NA,1
"937","1960","Mississippi","James Eastland","100",91.8,"
Joe A. Moore ","200",8.2,0,0,0,1
"938","1964","Mississippi","John C. Stennis ","100",NA,NA,NA,NA,1,0,NA,1
"939","1966","Mississippi","James Eastland","100",65.5,"
Prentiss Walker ","200",26.8,0,0,0,1
"940","1970","Mississippi","John C. Stennis","100",88.4,"William R. Thompson ","Independent",11.6,0,0,0,1
"941","1972","Mississippi","James Eastland","100",58.1,"Gil Carmichael ","200",38.7,0,0,0,1
"942","1976","Mississippi","John C. Stennis","100",NA,NA,NA,NA,1,0,NA,1
"943","1978","Mississippi","Thad Cochran","200",45.3,"Maurice Dantin ","100",31.8,0,0,0,1
"944","1982","Mississippi","John C. Stennis","100",64.2,"
Haley Barbour ","200",35.8,0,0,0,1
"945","1984","Mississippi","Thad Cochran","200",60.9,"
William Winter ","100",39.1,0,0,0,1
"946","1988","Mississippi","Trent Lott","200",54.1,"
Wayne Dowdy ","100",45.9,0,0,0,1
"947","1990","Mississippi","Thad Cochran","200",NA,NA,NA,NA,1,0,NA,1
"948","1994","Mississippi","Trent Lott","200",68.8,"
Ken Harper ","100",31.2,0,0,0,1
"949","1996","Mississippi","Thad Cochran","200",71,"
James Hunt ","100",27.4,0,0,0,1
"950","2000","Mississippi","Trent Lott","200",65.9,"
Troy Brown ","100",31.6,0,0,0,1
"951","2002","Mississippi","Thad Cochran","200",85.6,"
Shawn O'Hara ","200eform",15.4,0,0,0,1
"952","2006","Mississippi","Trent Lott","200",63.6,"
Erik Fleming ","100",34.8,0,0,0,1
"953","2008","Mississippi","Thad Cochran","200",61.4,"
Erik Fleming ","100",38.6,0,0,0,1
"954","2012","Mississippi","Roger Wicker","200",57.2,"
Albert N. Gore, Jr. ","100",40.6,0,0,0,1
"955","2014","Mississippi","Thad Cochran","200",59.9,"
Travis Childers ","100",37.9,0,0,0,1
"956","2018","Mississippi","Roger Wicker","200",58.5,"
David Baria ","100",39.5,0,0,0,1
"957","1923","Minnesota","Magnus Johnson","Farmer–Labor",57.5,"
J. A. O. Preus ","200",38.7,0,0,0,1
"958","1936","Minnesota","Guy V. Howard","200",42.89," Nathaniel J. Holmberg ","200",28.42,0,0,0,1
"959","1978","Minnesota","David Durenberger","200",61.4,"Bob Short ","100",34.6,0,0,0,1
"960","2018","Minnesota","Tina Smith","100",53,"
Karin Housley ","200",42.4,0,0,0,1
"961","1918","Minnesota","Knute Nelson,","200",60.05,"
Willis Calderwood, ","Nationalist",39.95,0,0,0,1
"962","1922","Minnesota","Henrik Shipstead","Farmer–Labor",47.1,"
Frank B. Kellogg ","200",35,0,0,0,1
"963","1924","Minnesota","Thomas D. Schall","200",46.5,"
Magnus Johnson ","Farmer–Labor",45.5,0,0,1,1
"964","1928","Minnesota","Henrik Shipstead","Farmer–Labor",65.4,"
Arthur E. Nelson ","200",33.7,0,0,0,1
"965","1934","Minnesota","Henrik Shipstead","Farmer–Labor",49.9,"
Einar Hoidale ","100",29.2,0,0,0,1
"966","1936","Minnesota","Ernest Lundeen","Farmer–Labor",62.2,"Theodore Christianson ","200",37.8,0,0,0,1
"967","1940","Minnesota","Henrik Shipstead","200",53,"
Elmer Austin Benson ","Farmer–Labor",25.7,0,0,0,1
"968","1942","Minnesota","Joseph H. Ball","200",47,"Elmer Austin Benson ","Farmer–Labor",28.2,0,0,0,1
"969","1946","Minnesota","Edward John Thye","200",58.9,"Theodore Jorgenson ","100",39.8,0,0,0,1
"970","1948","Minnesota","Hubert Humphrey","100",59.9,"Joseph H. Ball ","200",39.7,0,0,0,1
"971","1952","Minnesota","Edward John Thye","200",56.6,"
William E. Carlson ","100",42.5,0,0,0,1
"972","1954","Minnesota","Hubert Humphrey","100",56.4,"
Val Bjornson ","200",42.1,0,0,0,1
"973","1958","Minnesota","Eugene McCarthy","100",52.9,"
Edward John Thye ","200",46.6,0,0,0,1
"974","1960","Minnesota","Hubert Humphrey","100",57.5,"
P. Kenneth Peterson ","200",42.2,0,0,0,1
"975","1964","Minnesota","Eugene McCarthy","100",60.3,"Wheelock Whitney ","200",39.3,0,0,0,1
"976","1966","Minnesota","Walter Mondale","100",53.9,"
Robert A. Forsythe ","200",45.2,0,0,0,1
"977","1970","Minnesota","Hubert Humphrey","100",57.8,"Clark MacGregor ","200",41.6,0,0,0,1
"978","1972","Minnesota","Walter Mondale","100",56.7,"Phil Hansen ","200",42.9,0,0,0,1
"979","1976","Minnesota","Hubert Humphrey","100",67.5,"Gerald W. Brekke ","200",25,0,0,0,1
"980","1978","Minnesota","Rudy Boschwitz","200",56.6,"Wendell Anderson ","100",40.4,0,0,0,1
"981","1982","Minnesota","David Durenberger","200",52.6,"
Mark Dayton ","100",46.6,0,0,0,1
"982","1984","Minnesota","Rudy Boschwitz","200",58.1,"
Joan Growe ","100",41.3,0,0,0,1
"983","1988","Minnesota","David Durenberger","200",56.2,"
Skip Humphrey ","100",40.9,0,0,0,1
"984","1990","Minnesota","Paul Wellstone","100",50.4,"
Rudy Boschwitz ","200",47.8,0,0,0,1
"985","1994","Minnesota","Rod Grams","200",49.1,"
Ann Wynia ","100FL",44.1,0,0,0,1
"986","1996","Minnesota","Paul Wellstone","100–Farmer–Labor",50.3,"
Rudy Boschwitz ","200",41.3,0,0,0,1
"987","2000","Minnesota","Mark Dayton","100",48.8,"
Rod Grams ","200",43.3,0,0,0,1
"988","2002","Minnesota","Norm Coleman","200",49.5,"
Walter Mondale ","100FL",47.3,0,0,0,1
"989","2006","Minnesota","Amy Klobuchar","100-Farmer-Labor",58.1,"
Mark Kennedy ","200",37.9,0,0,0,1
"990","2008","Minnesota","Al Franken","100FL",41.99,"
Norm Coleman ","200",41.98,0,0,1,1
"991","2012","Minnesota","Amy Klobuchar","100",65.2,"
Kurt Bills ","200",30.6,0,0,0,1
"992","2014","Minnesota","Al Franken","100 Farmer-Labor",53.2,"
Mike McFadden ","200",NA,0,0,NA,1
"993","2018","Minnesota","Amy Klobuchar","100",60.3,"
Jim Newberger ","200",36.2,0,0,0,1
"994","1928","Michigan","Arthur H. Vandenberg","200",72.03,"
John W. Bailey ","100",27.78,0,0,0,1
"995","1952","Michigan","Charles E. Potter","200",51.2,"
Blair Moody ","100",48.7,0,0,0,1
"996","1918","Michigan","Truman Handy Newberry,","200",50.19,"
Henry Ford, ","100",48.47,0,0,1,1
"997","1922","Michigan","Woodbridge N. Ferris","100",50.6,"
Charles E. Townsend ","200",48.4,0,0,0,1
"998","1924","Michigan","James Couzens","200",74.3,"
Mortimer E. Cooley ","100",24.6,0,0,0,1
"999","1928","Michigan","Arthur H. Vandenberg","200",71.8,"
John W. Bailey ","100",27.7,0,0,0,1
"1000","1934","Michigan","Arthur H. Vandenberg","200",51.3,"
Frank A. Picard ","100",47,0,0,0,1
"1001","1936","Michigan","Prentiss M. Brown","100",53.3,"Wilber M. Brucker ","200",41.8,0,0,0,1
"1002","1940","Michigan","Arthur H. Vandenberg","200",52.7,"
Frank Fitzpatrick ","100",47,0,0,0,1
"1003","1942","Michigan","Homer Ferguson","200",49.6,"Prentiss M. Brown ","100",47.2,0,0,0,1
"1004","1946","Michigan","Arthur H. Vandenberg","200",67.1,"James H. Lee ","100",32,0,0,0,1
"1005","1948","Michigan","Homer Ferguson","200",50.7,"Frank E. Hook ","100",48.5,0,0,0,1
"1006","1952","Michigan","Charles E. Potter","200",50.6,"
Blair Moody ","100",49,0,0,1,1
"1007","1954","Michigan","Patrick V. McNamara","100",50.8,"
Homer Ferguson ","200",48.9,0,0,1,1
"1008","1958","Michigan","Philip A. Hart","100",53.6,"
Charles E. Potter ","200",46.1,0,0,0,1
"1009","1960","Michigan","Patrick V. McNamara","100",51.7,"
Alvin M. Bentley ","200",48,0,0,0,1
"1010","1964","Michigan","Philip A. Hart","100",64.4,"Elly M. Peterson ","200",35.3,0,0,0,1
"1011","1966","Michigan","Robert P. Griffin","200",55.9,"
G. Mennen Williams ","100",43.8,0,0,0,1
"1012","1970","Michigan","Philip Hart","100",66.8,"Lenore Romney ","200",32.9,0,0,0,1
"1013","1972","Michigan","Robert P. Griffin","200",52.3,"Frank J. Kelley ","100",46.3,0,0,0,1
"1014","1976","Michigan","Donald Riegle","100",52.5,"Marvin L. Esch ","200",46.8,0,0,0,1
"1015","1978","Michigan","Carl Levin","100",52.1,"Robert P. Griffin ","200",47.9,0,0,0,1
"1016","1982","Michigan","Don Riegle","100",57.7,"
Philip Ruppe ","200",40.9,0,0,0,1
"1017","1984","Michigan","Carl Levin","100",51.8,"
Jack R. Lousma ","200",47.2,0,0,0,1
"1018","1988","Michigan","Donald W. Riegle Jr.","100",60.4,"
James Whitney Dunn ","200",38.5,0,0,0,1
"1019","1990","Michigan","Carl Levin","100",57.5,"
Bill Schuette ","200",41.2,0,0,0,1
"1020","1994","Michigan","Spencer Abraham","200",51.9,"
Bob Carr ","100",42.7,0,0,0,1
"1021","1996","Michigan","Carl Levin","100",58.4,"
Ronna Romney ","200",39.9,0,0,0,1
"1022","2000","Michigan","Debbie Stabenow","100",49.4,"
Spencer Abraham ","200",47.9,0,0,1,1
"1023","2002","Michigan","Carl Levin","100",60.6,"
Andrew Raczkowski ","200",37.9,0,0,0,1
"1024","2006","Michigan","Debbie Stabenow","100",56.9,"
Mike Bouchard ","200",41.3,0,0,0,1
"1025","2008","Michigan","Carl Levin","100",62.7,"
Jack Hoogendyk ","200",33.8,0,0,0,1
"1026","2012","Michigan","Debbie Stabenow","100",58.8,"
Pete Hoekstra ","200",38,0,0,0,1
"1027","2014","Michigan","Gary Peters","100",54.6,"
Terri Lynn Land ","200",41.3,0,0,0,1
"1028","2018","Michigan","Debbie Stabenow","100",52.3,"
John James ","200",45.8,0,0,0,1
"1029","1944","Massachusetts","Leverett Saltonstall","200",64.3,"John H. Corcoran ","100",34.9,0,0,0,1
"1030","2013","Massachusetts","Ed Markey","100",54.8,"Gabriel E. Gomez ","200",44.8,0,0,0,1
"1031","1926","Massachusetts","David I. Walsh","100",52,"William M. Butler ","200",46.5,0,0,0,1
"1032","1962","Massachusetts","Ted Kennedy","100",55.4,"George C. Lodge ","200",41.9,0,0,0,1
"1033","2010","Massachusetts","Scott Brown","200",51.9,"
Martha Coakley ","100",47.1,0,0,0,1
"1034","1918","Massachusetts","David I. Walsh,","100",49.67,"
John W. Weeks, ","200",45.07,0,0,0,1
"1035","1922","Massachusetts","Henry Cabot Lodge","200",47.6,"
William A. Gaston ","100",46.8,0,0,1,1
"1036","1924","Massachusetts","Frederick H. Gillett","200",50.3,"
David I. Walsh ","100",48.6,0,0,1,1
"1037","1928","Massachusetts","David I. Walsh","100",53.6,"
Benjamin Loring Young ","200",45.5,0,0,0,1
"1038","1934","Massachusetts","David I. Walsh","100",59.4,"
Robert M. Washburn ","200",37.4,0,0,0,1
"1039","1936","Massachusetts","Henry Cabot Lodge, Jr.","200",48.5,"James Michael Curley ","100",41,0,0,0,1
"1040","1940","Massachusetts","David I. Walsh","100",55.6,"
Henry Parkman Jr. ","200",42.8,0,0,0,1
"1041","1942","Massachusetts","Henry Cabot Lodge, Jr.","200",52.4,"Joseph E. Casey ","100",46.6,0,0,0,1
"1042","1946","Massachusetts","Henry Cabot Lodge, Jr.","200",59.6,"David I. Walsh ","100",39.7,0,0,0,1
"1043","1948","Massachusetts","Leverett Saltonstall","200",53,"John I. Fitzgerald ","100",46.4,0,0,0,1
"1044","1952","Massachusetts","John F. Kennedy","100",51.4,"
Henry Cabot Lodge, Jr. ","200",48.4,0,0,0,1
"1045","1954","Massachusetts","Leverett Saltonstall","200",50.5,"
Foster Furcolo ","100",49,0,0,1,1
"1046","1958","Massachusetts","John F. Kennedy","100",73.2,"
Vincent J. Celeste ","200",26.2,0,0,0,1
"1047","1960","Massachusetts","Leverett Saltonstall","200",56.2,"
Thomas J. O'Connor ","100",43.5,0,0,0,1
"1048","1964","Massachusetts","Ted Kennedy","100",74.3,"Howard Whitmore, Jr. ","200",25.4,0,0,0,1
"1049","1966","Massachusetts","Edward Brooke","200",60.7,"
Endicott Peabody ","100",38.7,0,0,0,1
"1050","1970","Massachusetts","Ted Kennedy","100",62.1,"Josiah A. Spaulding ","200",37,0,0,0,1
"1051","1972","Massachusetts","Edward Brooke","200",63.5,"John J. Droney ","100",34.7,0,0,0,1
"1052","1976","Massachusetts","Ted Kennedy","100",69.3,"Michael S. Robertson ","200",29,0,0,0,1
"1053","1978","Massachusetts","Paul Tsongas","100",55.1,"Edward Brooke ","200",44.9,0,0,0,1
"1054","1982","Massachusetts","Ted Kennedy","100",60.8,"
Ray Shamie ","200",38.3,0,0,0,1
"1055","1984","Massachusetts","John Kerry","100",55.1,"
Ray Shamie ","200",44.9,0,0,0,1
"1056","1988","Massachusetts","Ted Kennedy","100",65,"
Joe Malone ","200",33.9,0,0,0,1
"1057","1990","Massachusetts","John Kerry","100",56.9,"
Jim Rappaport ","200",43.1,0,0,0,1
"1058","1994","Massachusetts","Ted Kennedy","100",58.1,"
Mitt Romney ","200",0.7,0,0,0,1
"1059","1996","Massachusetts","John Kerry","100",52.2,"
William Weld ","200",44.7,0,0,0,1
"1060","2000","Massachusetts","Ted Kennedy","100",72.9,"
Jack E. Robinson III ","200",12.9,0,0,0,1
"1061","2002","Massachusetts","John Kerry","100",72.3,"
Michael E. Cloud ","Libertarian",16.6,0,0,0,1
"1062","2006","Massachusetts","Ted Kennedy","100",69.5,"
Kenneth Chase ","200",30.5,0,0,0,1
"1063","2008","Massachusetts","John Kerry","100",65.8,"
Jeff Beatty ","200",31,0,0,0,1
"1064","2012","Massachusetts","Elizabeth Warren","100",53.7,"
Scott Brown ","200",46.3,0,0,0,1
"1065","2014","Massachusetts","Ed Markey","100",62,"
Brian Herr ","200",38,0,0,0,1
"1066","2018","Massachusetts","Elizabeth Warren","100",60.4,"
Geoff Diehl ","200",36.2,0,0,0,1
"1067","1920","Maryland","Ovington E. Weller,","200",47.3,"
John W. Smith, ","100",43.3,0,0,0,1
