"","year","State","District","Politician","Politician_Party","Politician_Vote_Share","Opp","Opp_Party","Opp_Vote_Share","Unopposed","Wiki_Missing","Close_Election","Leg_Body"
"243",1962,"Wisconsin","8","John W. Byrnes","200",62.8,"Owen F. Monfils ","100",37.2,0,0,0,2
"244",1962,"Wisconsin","9","Lester Johnson","100",55.6,"Dennis B. Danielson ","200",44.4,0,0,0,2
"245",1962,"Wisconsin","10","Alvin E. O'Konski","200",63.2,"J. Louis Hanson ","100",36.8,0,0,0,2
"246",1966,"Wisconsin","1","Henry C. Schadeberg","200",51,"
Lynn E. Stalbaum ","100",49,0,0,1,2
"247",1966,"Wisconsin","2","Robert W. Kastenmeier","100",58,"
William B. Smith ","200",42,0,0,0,2
"248",1966,"Wisconsin","3","Vernon Wallace Thomson","200",68.8,"
John D. Rice ","100",31.2,0,0,0,2
"249",1966,"Wisconsin","4","Clement J. Zablocki","100",74.3,"
James E. Laessig ","200",25.7,0,0,0,2
"250",1966,"Wisconsin","5","Henry S. Reuss","100",70,"
Curtis T. Pechtel ","200",29.7,0,0,0,2
"251",1966,"Wisconsin","6","William A. Steiger","200",52.4,"
John A. Race ","100",47.6,0,0,0,2
"252",1966,"Wisconsin","7","Melvin R. Laird","200",65.1,"
Norman L. Myhra ","100",34.9,0,0,0,2
"253",1966,"Wisconsin","8","John W. Byrnes","200",61.3,"
Marvin S. Kagen ","100",38.7,0,0,0,2
"254",1966,"Wisconsin","9","Glenn R. Davis","200",64.1,"
James P. Buckley ","100",35.9,0,0,0,2
"255",1966,"Wisconsin","10","Alvin E. O'Konski","200",66.5,"
Carl E. Lauri ","100",33.5,0,0,0,2
"256",1968,"Wisconsin","1","Henry C. Schadeberg","200",50.9,"Lynn E. Stalbaum ","100",49.1,0,0,1,2
"257",1968,"Wisconsin","2","Robert W. Kastenmeier","100",59.9,"Richard D. Murray ","200",40.1,0,0,0,2
"258",1968,"Wisconsin","3","Vernon Wallace Thomson","200",63.7,"Gunnar A. Gunderson ","100",36.3,0,0,0,2
"259",1968,"Wisconsin","4","Clement J. Zablocki","100",72.6,"Walter McCullough ","200",27.4,0,0,0,2
"260",1968,"Wisconsin","5","Henry S. Reuss","100",67.8,"Robert J. Dwyer ","200",31.4,0,0,0,2
"261",1968,"Wisconsin","6","William A. Steiger","200",64,"John A. Race ","100",34.3,0,0,0,2
"262",1968,"Wisconsin","7","Melvin R. Laird","200",64.1,"Lawrence Dahl ","100",35.9,0,0,0,2
"263",1968,"Wisconsin","8","John W. Byrnes","200",68,"John E. Nixon ","100",32,0,0,0,2
"264",1968,"Wisconsin","9","Glenn R. Davis","200",63.1,"Carol E. Baumann ","100",36.9,0,0,0,2
"265",1968,"Wisconsin","10","Alvin E. O'Konski","200",65.9,"Timothy J. Hirsch ","100",34.1,0,0,0,2
"266",1970,"Wisconsin","1","Les Aspin","100",60.9,"
Henry C. Schadeberg ","200",39.1,0,0,0,2
"267",1970,"Wisconsin","2","Robert W. Kastenmeier","100",68.5,"
Norman Anderson ","200",31,0,0,0,2
"268",1970,"Wisconsin","3","Vernon Wallace Thomson","200",55.5,"
Ray Short ","100",44.5,0,0,0,2
"269",1970,"Wisconsin","4","Clement J. Zablocki","100",80.3,"
Phillip D. Mrozinski ","200",18.1,0,0,0,2
"270",1970,"Wisconsin","5","Henry S. Reuss","100",75.9,"
Robert J. Dwyer ","200",23,0,0,0,2
"271",1970,"Wisconsin","6","William A. Steiger","200",67.7,"
Franklin R. Utech ","100",30.8,0,0,0,2
"272",1970,"Wisconsin","7","Dave Obey","100",67.6,"
Andre E. Le Tendre ","200",31.5,0,0,0,2
"273",1970,"Wisconsin","8","John W. Byrnes","200",55.5,"
Robert J. Cornell ","100",43.6,0,0,0,2
"274",1970,"Wisconsin","9","Glenn R. Davis","200",52,"
Fred N. Tabak ","100",48,0,0,0,2
"275",1970,"Wisconsin","10","Alvin E. O'Konski","200",50.9,"
Walter Thoresen ","100",48.6,0,0,0,2
"276",1972,"Wisconsin","1","Les Aspin","100",64.4,"Merrill E. Stalbaum ","200",34.9,0,0,0,2
"277",1972,"Wisconsin","2","Robert W. Kastenmeier","100",68.2,"J. Michael Kelly ","200",31.4,0,0,0,2
"278",1972,"Wisconsin","3","Vernon Wallace Thomson","200",54.7,"Walter Thoresen ","100",44.6,0,0,0,2
"279",1972,"Wisconsin","4","Clement J. Zablocki","100",75.7,"Phillip D. Mrozinski ","200",22.8,0,0,0,2
"280",1972,"Wisconsin","5","Henry S. Reuss","100",77.3,"Frederick Van Hecke ","200",20.4,0,0,0,2
"281",1972,"Wisconsin","6","William A. Steiger","200",65.8,"James A. Adams ","100",32,0,0,0,2
"282",1972,"Wisconsin","7","Dave Obey","100",62.8,"Alvin E. O'Konski ","200",37.2,0,0,0,2
"283",1972,"Wisconsin","8","Harold Vernon Froehlich","200",50.4,"Robert J. Cornell ","100",48.5,0,0,1,2
"284",1972,"Wisconsin","9","Glenn R. Davis","200",61.4,"Ralph A. Fine ","100",36.7,0,0,0,2
"285",1974,"Wisconsin","1","Les Aspin","100",70.5,"Leonard W. Smith ","200",29.5,0,0,0,2
"286",1974,"Wisconsin","2","Robert W. Kastenmeier","100",64.8,"Elizabeth T. Miller ","200",35.2,0,0,0,2
"287",1974,"Wisconsin","3","Alvin Baldus","100",51.1,"Vernon Wallace Thomson ","200",47.4,0,0,0,2
"288",1974,"Wisconsin","4","Clement J. Zablocki","100",72.5,"Lewis H. Collison ","200",23.8,0,0,0,2
"289",1974,"Wisconsin","5","Henry S. Reuss","100",80,"Mildred A. Morries ","200",20,0,0,0,2
"290",1974,"Wisconsin","6","William A. Steiger","200",59.5,"Nancy J. Simenz ","100",35.4,0,0,0,2
"291",1974,"Wisconsin","7","Dave Obey","100",70.6,"Josef Burger ","200",29.4,0,0,0,2
"292",1974,"Wisconsin","8","Robert John Cornell","100",54.4,"Harold Vernon Froehlich ","200",45.6,0,0,0,2
"293",1974,"Wisconsin","9","Bob Kasten","200",52.9,"Lynn S. Adelman ","100",45,0,0,0,2
"294",1976,"Wisconsin","1","Les Aspin","100",64.9,"William W. Petrie ","200",34,0,0,0,2
"295",1976,"Wisconsin","2","Robert W. Kastenmeier","100",65.6,"Elizabeth T. Miller ","200",34.4,0,0,0,2
"296",1976,"Wisconsin","3","Alvin Baldus","100",58.1,"Adolf L. Gundersen ","200",41.9,0,0,0,2
"297",1976,"Wisconsin","4","Clement J. Zablocki","100",NA,NA,NA,NA,1,0,NA,2
"298",1976,"Wisconsin","5","Henry S. Reuss","100",77.8,"Robert L. Hicks ","200",21,0,0,0,2
"299",1976,"Wisconsin","6","William A. Steiger","200",63.4,"Joseph C. Smith ","100",36.6,0,0,0,2
"300",1976,"Wisconsin","7","Dave Obey","100",73.3,"Frank A. Savino ","200",26.1,0,0,0,2
"301",1976,"Wisconsin","8","Robert John Cornell","100",50.9,"Harold Vernon Froehlich ","200",46.9,0,0,0,2
"302",1976,"Wisconsin","9","Bob Kasten","200",65.9,"Lynn M. McDonald ","100",34.1,0,0,0,2
"303",1978,"Wisconsin","1","Les Aspin","100",54.5,"William W. Petrie ","200",45.5,0,0,0,2
"304",1978,"Wisconsin","2","Robert W. Kastenmeier","100",57.7,"James A. Wright ","200",41.3,0,0,0,2
"305",1978,"Wisconsin","3","Alvin Baldus","100",62.8,"Michael Steven Ellis ","200",37.2,0,0,0,2
"306",1978,"Wisconsin","4","Clement J. Zablocki","100",66.1,"Elroy C. Honadel ","200",33.9,0,0,0,2
"307",1978,"Wisconsin","5","Henry S. Reuss","100",73.1,"James R. W. Medina ","200",25.9,0,0,0,2
"308",1978,"Wisconsin","6","William A. Steiger","200",69.6,"Robert J. Steffes ","100",29.6,0,0,0,2
"309",1978,"Wisconsin","7","Dave Obey","100",62.2,"Vinton A. Vesta ","200",36.9,0,0,0,2
"310",1978,"Wisconsin","8","Toby Roth","200",57.9,"Robert John Cornell ","100",42.1,0,0,0,2
"311",1978,"Wisconsin","9","Jim Sensenbrenner","200",61.2,"Matthew J. Flynn ","100",38.8,0,0,0,2
"312",1980,"Wisconsin","1","Les Aspin","100",56.2,"Kathryn H. Canary ","200",42.8,0,0,0,2
"313",1980,"Wisconsin","2","Robert W. Kastenmeier","100",54,"James A. Wright ","200",45.4,0,0,0,2
"314",1980,"Wisconsin","3","Steve Gunderson","200",51,"Alvin Baldus ","100",49,0,0,1,2
"315",1980,"Wisconsin","4","Clement J. Zablocki","100",70,"Elroy C. Honadel ","200",29.2,0,0,0,2
"316",1980,"Wisconsin","5","Henry S. Reuss","100",77,"David Bathke ","200",22.2,0,0,0,2
"317",1980,"Wisconsin","6","Tom Petri","200",59.3,"Gary R. Goyke ","100",40.7,0,0,0,2
"318",1980,"Wisconsin","7","Dave Obey","100",64.7,"Vinton A. Vesta ","200",35.3,0,0,0,2
"319",1980,"Wisconsin","8","Toby Roth","200",67.7,"Michael Monfils ","100",32.3,0,0,0,2
"320",1980,"Wisconsin","9","Jim Sensenbrenner","200",78.4,"Gary C. Benedict ","100",21.6,0,0,0,2
"321",1982,"Wisconsin","9","James Sensenbrenner","200",NA,NA,NA,NA,1,0,NA,2
"322",1984,"Wisconsin","4","Jerry Kleczka","100",65.1,"
Robert V. Nolan ","200",34.9,0,0,0,2
"323",1986,"Wisconsin","1","Les Aspin","100",74.3,"
Iris Peterson ","200",24.1,0,0,0,2
"324",1986,"Wisconsin","2","Robert W. Kastenmeier","100",55.5,"
Ann J. Haney ","200",44.2,0,0,0,2
"325",1986,"Wisconsin","3","Steve Gunderson","200",64.1,"
Leland E. Mulder ","100",35.9,0,0,0,2
"326",1986,"Wisconsin","4","Jerry Kleczka","100",NA,NA,NA,NA,1,0,NA,2
"327",1986,"Wisconsin","5","Jim Moody","100",NA,NA,NA,NA,1,0,NA,2
"328",1986,"Wisconsin","6","Tom Petri","200",96.7,"
John Richard Daggett ","Independent",3.3,0,0,0,2
"329",1986,"Wisconsin","7","Dave Obey","100",62.1,"
Kevin J. Hermening ","200",36.9,0,0,0,2
"330",1986,"Wisconsin","8","Toby Roth","200",67.4,"
Paul Willems ","100",32.6,0,0,0,2
"331",1986,"Wisconsin","9","Jim Sensenbrenner","200",78.2,"
Thomas G. Popp ","100",21.8,0,0,0,2
"332",1988,"Wisconsin","1","Les Aspin","100",76.2,"Bernard J. Weaver ","200",23.8,0,0,0,2
"333",1988,"Wisconsin","2","Robert W. Kastenmeier","100",58.5,"Ann J. Haney ","200",41.5,0,0,0,2
"334",1988,"Wisconsin","3","Steve Gunderson","200",68.4,"Karl Krueger ","100",31.6,0,0,0,2
"335",1988,"Wisconsin","4","Jerry Kleczka","100",NA,NA,NA,NA,1,0,NA,2
"336",1988,"Wisconsin","5","Jim Moody","100",64.2,"Helen Independent. Barnhill ","200",35.8,0,0,0,2
"337",1988,"Wisconsin","6","Tom Petri","200",74.2,"Joseph Garrett ","100",25.8,0,0,0,2
"338",1988,"Wisconsin","7","Dave Obey","100",61.8,"Kevin J. Hermening ","200",37.4,0,0,0,2
"339",1988,"Wisconsin","8","Toby Roth","200",69.7,"Robert A. Baron ","100",30.3,0,0,0,2
"340",1988,"Wisconsin","9","Jim Sensenbrenner","200",74.9,"Thomas J. Hickey ","100",25.1,0,0,0,2
"341",1990,"Wisconsin","1","Les Aspin","100",NA,NA,NA,NA,1,0,NA,2
"342",1990,"Wisconsin","6","Tom Petri","200",NA,NA,NA,NA,1,0,NA,2
"343",1990,"Wisconsin","9","James Sensenbrenner","200",NA,NA,NA,NA,1,0,NA,2
"344",1998,"Wisconsin","1","Paul Ryan","200",57.1,"Lydia Spottswood ","100",42.7,0,0,0,2
"345",1998,"Wisconsin","2","Tammy Baldwin","100",52.5,"Josephine Musser ","200",47.4,0,0,0,2
"346",1998,"Wisconsin","3","Ron Kind","100",71.5,"Troy Brechler ","200",28.4,0,0,0,2
"347",1998,"Wisconsin","4","Jerry Kleczka","100",57.9,"Tom Reynolds ","200",NA,0,0,NA,2
"348",1998,"Wisconsin","5","Tom Barrett","100",78.2,"Jack Melvin ","200",21.6,0,0,0,2
"349",1998,"Wisconsin","6","Tom Petri","200",92.6,"Timothy Farness ","U.S. Taxpayers",7.2,0,0,0,2
"350",1998,"Wisconsin","7","Dave Obey","100",60.6,"Scott West ","200",39.3,0,0,0,2
"351",1998,"Wisconsin","8","Mark Green","200",55.6,"Jay W. Johnson ","100",45.4,0,0,0,2
"352",1998,"Wisconsin","9","James Sensenbrenner","200",91.3,"Jeffrey Gonyo ","Independent",8.5,0,0,0,2
"353",2000,"Wisconsin","4","Jerry Kleczka","100",60.8,"
Tim Riener ","200",37.8,0,0,0,2
"354",2002,"Wisconsin","1","Paul Ryan","200",67.19,"Jeffrey C. Thomas ","100",30.63,0,0,0,2
"355",2002,"Wisconsin","2","Tammy Baldwin","100",66.01,"Ron Greer ","200",33.83,0,0,0,2
"356",2002,"Wisconsin","3","Ron Kind","100",62.82,"Bill Arndt ","200",33.54,0,0,0,2
"357",2002,"Wisconsin","4","Jerry Kleczka","100",86.32,"Brian Verdin ","G",12.96,0,0,0,2
"358",2002,"Wisconsin","5","James Sensenbrenner","200",86.13,"Robert R. Raymond ","I",13.32,0,0,0,2
"359",2002,"Wisconsin","6","Tom Petri ","200",NA,NA,NA,NA,1,0,NA,2
"360",2002,"Wisconsin","7","Dave Obey","100",64.21,"Joe Rothbauer ","200",35.76,0,0,0,2
"361",2002,"Wisconsin","8","Mark Green","200",72.58,"Andrew Becker ","100",23.89,0,0,0,2
"362",2004,"Wisconsin","1","Paul Ryan","200",65.4,"
Jeffrey C. Thomas ","100",32.6,0,0,0,2
"363",2004,"Wisconsin","2","Tammy Baldwin","100",63.3,"
Dave Magnum ","200",36.7,0,0,0,2
"364",2004,"Wisconsin","3","Ron Kind","100",56.4,"
Dale Schultz ","200",43.6,0,0,0,2
"365",2004,"Wisconsin","4","Gwen Moore","100",69.6,"
Gerald H. Boyle ","200",28.2,0,0,0,2
"366",2004,"Wisconsin","5","Jim Sensenbrenner","200",66.6,"
Bryan Kennedy ","100",31.8,0,0,0,2
"367",2004,"Wisconsin","6","Tom Petri","200",67,"
Jef Hall ","100",30.1,0,0,0,2
"368",2004,"Wisconsin","7","Dave Obey","100",85.6,"
Mike Miles ","Green",9.4,0,0,0,2
"369",2004,"Wisconsin","8","Mark Green","200",70.1,"
Dottie LeClair ","100",29.9,0,0,0,2
"370",2006,"Wisconsin","1","Paul Ryan","200",62.8,"
Jeff Thomas ","100",37.2,0,0,0,2
"371",2006,"Wisconsin","2","Tammy Baldwin","100",62.9,"
Dave Magnum ","200",37.1,0,0,0,2
"372",2006,"Wisconsin","3","Ron Kind","100",64.9,"
Paul Nelson ","200",35.1,0,0,0,2
"373",2006,"Wisconsin","4","Gwen Moore","100",71.5,"
Perfecto Rivera ","200",28.5,0,0,0,2
"374",2006,"Wisconsin","5","Jim Sensenbrenner","200",61.8,"
Bryan Kennedy ","100",35.7,0,0,0,2
"375",2006,"Wisconsin","6","Tom Petri","200",NA,NA,NA,NA,1,0,NA,2
"376",2006,"Wisconsin","7","Dave Obey","100",62.2,"
Nick Reid ","200",35,0,0,0,2
"377",2006,"Wisconsin","8","Steve Kagen","100",51.1,"
John Gard ","200",48.9,0,0,0,2
"378",2008,"Wisconsin","1","Paul Ryan","200",64,"
Marge Krupp ","100",34.7,0,0,0,2
"379",2008,"Wisconsin","2","Tammy Baldwin","100",69.3,"
Peter Theron ","200",30.6,0,0,0,2
"380",2008,"Wisconsin","3","Ron Kind","100",63.2,"
Paul Stark ","200",34.4,0,0,0,2
"381",2008,"Wisconsin","4","Gwen Moore","100",87.6,"
Michael LaForest ","Independent",11.5,0,0,0,2
"382",2008,"Wisconsin","5","Jim Sensenbrenner","200",79.6,"
Robert R. Raymond ","Independent",20.2,0,0,0,2
"383",2008,"Wisconsin","6","Tom Petri","200",63.7,"
Roger Kittelson ","100",36.2,0,0,0,2
"384",2008,"Wisconsin","7","Dave Obey","100",60.8,"
Dan Mielke ","200",39.1,0,0,0,2
"385",2008,"Wisconsin","8","Steve Kagen","100",54,"
John Gard ","200",45.9,0,0,0,2
"386",2012,"Wisconsin","1","Paul Ryan","200",54.9,"Rob Zerban ","100",43.4,0,0,0,2
"387",2012,"Wisconsin","2","Mark Pocan","100",68,"Chad Lee ","200",32,0,0,0,2
"388",2012,"Wisconsin","3","Ron Kind","100",64.1,"Ray Boland ","200",35.9,0,0,0,2
"389",2012,"Wisconsin","4","Gwen Moore","100",72.3,"Dan Sebring ","200",23.8,0,0,0,2
"390",2012,"Wisconsin","5","Jim Sensenbrenner","200",67.9,"Dave Heaster ","100",32.1,0,0,0,2
"391",2012,"Wisconsin","6","Tom Petri","200",62.1,"Joe Kallas ","100",37.9,0,0,0,2
"392",2012,"Wisconsin","7","Sean Duffy","200",56.1,"Pat Kreitlow ","100",43.9,0,0,0,2
"393",2012,"Wisconsin","8","Reid Ribble","200",55.9,"Jamie Wall ","100",44.1,0,0,0,2
"394",2018,"Wisconsin","1","Bryan Steil","200",54.6,"
Randy Bryce ","100",42.3,0,0,0,2
"395",2018,"Wisconsin","2","Mark Pocan","100",NA,NA,NA,NA,1,0,NA,2
"396",2018,"Wisconsin","3","Ron Kind","100",59.7,"
Steve Toft ","200",40.3,0,0,0,2
"397",2018,"Wisconsin","4","Gwen Moore","100",75.7,"
Tim Rogers ","200",21.7,0,0,0,2
"398",2018,"Wisconsin","5","Jim Sensenbrenner","200",62,"
Tom Palzewicz ","100",38,0,0,0,2
"399",2018,"Wisconsin","6","Glenn Grothman","200",55.5,"
Dan Kohl ","100",44.5,0,0,0,2
"400",2018,"Wisconsin","7","Sean Duffy","200",59.9,"
Margaret Engebretson ","100",38.4,0,0,0,2
"401",2018,"Wisconsin","8","Mike Gallagher","200",63.7,"
Beau Liegeois ","100",36.3,0,0,0,2
"402",1920,"West Virginia","1","Benjamin L. Rosenbloom","200",50.3,"Matthew M. Neely ","100",49.7,0,0,1,2
"403",1920,"West Virginia","2","George M. Bowers","200",56.8,"Forrest W. Brown ","100",43.2,0,0,0,2
"404",1920,"West Virginia","3","Stuart F. Reed","200",57.7,"Robert F. Kidd ","100",NA,0,0,NA,2
"405",1920,"West Virginia","4","Harry C. Woodyard","200",55.4,"John L. Conner ","100",44.6,0,0,0,2
"406",1920,"West Virginia","5","Wells Goodykoontz","200",54.1,"W. W. McNeal ","100",45.9,0,0,0,2
"407",1920,"West Virginia","6","Leonard S. Echols","200",54.4,"William E. Wilson ","100",45.6,0,0,0,2
"408",1922,"West Virginia","1","Benjamin L. Rosenbloom","200",52.6,"
Raymond Kenny ","100",47.3,0,0,0,2
"409",1922,"West Virginia","2","Robert E. Lee Allen","100",51.5,"
George M. Bowers ","200",46.6,0,0,0,2
"410",1922,"West Virginia","3","Stuart F. Reed","200",50.5,"
Eskridge H. Morton ","100",49.5,0,0,1,2
"411",1922,"West Virginia","4","George W. Johnson","100",50.7,"
Harry C. Woodyard ","200",49.3,0,0,1,2
"412",1922,"West Virginia","5","Thomas Jefferson Lilly","100",51.5,"
Wells Goodykoontz ","200",48.5,0,0,0,2
"413",1922,"West Virginia","6","J. Alfred Taylor","100",54.2,"
Leonard S. Echols ","200",44.7,0,0,0,2
"414",1924,"West Virginia","1","Carl G. Bachmann","200",55.2,"George W. Oldham ","100",44.8,0,0,0,2
"415",1924,"West Virginia","2","Frank L. Bowman","200",50.1,"Robert E. Lee Allen ","100",48.5,0,0,1,2
"416",1924,"West Virginia","3","John M. Wolverton","200",51.9,"Robert H. Kidd ","100",NA,0,0,NA,2
"417",1924,"West Virginia","4","Harry C. Woodyard","200",51.2,"George W. Johnson ","100",48.8,0,0,0,2
"418",1924,"West Virginia","5","James F. Strother","200",51.5,"Thomas Jefferson Lilly ","100",48.5,0,0,0,2
"419",1924,"West Virginia","6","J. Alfred Taylor","100",49.8,"Leonard S. Echols ","200",48.5,0,0,1,2
"420",1926,"West Virginia","1","Carl G. Bachmann","200",52.2,"George W. Oldham ","100",47.8,0,0,0,2
"421",1926,"West Virginia","2","Frank L. Bowman","200",54,"Robert E. Lee Allen ","100",45.7,0,0,0,2
"422",1926,"West Virginia","3","William S. O'Brien","100",51.8,"John M. Wolverton ","200",48.2,0,0,0,2
"423",1926,"West Virginia","4","James A. Hughes","200",52.4,"John D. Sweeney ","100",47.6,0,0,0,2
"424",1926,"West Virginia","5","James F. Strother","200",53.3,"Emmett F. Scaggs ","100",46.7,0,0,0,2
"425",1926,"West Virginia","6","Edward T. England","200",50.1,"J. Alfred Taylor ","100",49.9,0,0,1,2
"426",1928,"West Virginia","1","Carl G. Bachmann","200",60.6,"Paul R. Wellman ","100",39.4,0,0,0,2
"427",1928,"West Virginia","2","Frank L. Bowman","200",55.7,"Ben H. Hiner ","100",44.2,0,0,0,2
"428",1928,"West Virginia","3","John M. Wolverton","200",50.4,"William S. O'Brien ","100",49.6,0,0,1,2
"429",1928,"West Virginia","4","James A. Hughes","200",57,"H. H. Darnell ","100",43,0,0,0,2
"430",1928,"West Virginia","5","Hugh Ike Shott","200",53.4,"John Kee ","100",46.6,0,0,0,2
"431",1928,"West Virginia","6","Joe L. Smith","100",50.1,"Edward T. England ","200",49.9,0,0,1,2
"432",1932,"West Virginia","1","Robert L. Ramsay","100",50.9,"Carl G. Bachmann ","200",48.3,0,0,0,2
"433",1932,"West Virginia","2","Jennings Randolph","100",53.4,"Frank L. Bowman ","200",46.2,0,0,0,2
"434",1932,"West Virginia","3","Lynn Hornor","100",53.6,"John M. Wolverton ","200",46.4,0,0,0,2
"435",1932,"West Virginia","4","George William Johnson","100",52.3,"Robert Lynn Hogg ","200",47.4,0,0,0,2
"436",1932,"West Virginia","5","John Kee","100",52.1,"Hugh Ike Shott ","200",47.9,0,0,0,2
"437",1932,"West Virginia","6","Joe L. Smith","100",56.4,"James O. Lakin ","200",43.6,0,0,0,2
"438",1936,"West Virginia","1","Robert L. Ramsay","100",59.8,"Charles J. Schuck ","200",40.1,0,0,0,2
"439",1936,"West Virginia","2","Jennings Randolph","100",59.8,"C. S. Musser ","200",40.1,0,0,0,2
"440",1936,"West Virginia","3","Andrew Edmiston, Jr.","100",59.3,"John M. Wolverton ","200",40.7,0,0,0,2
"441",1936,"West Virginia","4","George William Johnson","100",53.5,"Raymond V. Humphreys ","200",46.5,0,0,0,2
"442",1936,"West Virginia","5","John Kee","100",64.5,"C. M. Jones ","200",35.5,0,0,0,2
"443",1936,"West Virginia","6","Joe L. Smith","100",63.9,"M. F. Matheny ","200",36.1,0,0,0,2
"444",1938,"West Virginia","1","A. C. Schiffler","200",54.8,"Robert L. Ramsay ","100",45.2,0,0,0,2
"445",1938,"West Virginia","2","Jennings Randolph","100",54.6,"Melvin C. Snyder ","200",45.4,0,0,0,2
"446",1938,"West Virginia","3","Andrew Edmiston, Jr.","100",55.3,"H. Roy Waugh ","200",44.7,0,0,0,2
"447",1938,"West Virginia","4","George William Johnson","100",52.9,"Raymond V. Humphreys ","200",47.1,0,0,0,2
"448",1938,"West Virginia","5","John Kee","100",61.3,"Hartley Sanders ","200",38.7,0,0,0,2
"449",1938,"West Virginia","6","Joe L. Smith","100",62.3,"R. E. O'Connor ","200",37.7,0,0,0,2
"450",1940,"West Virginia","1","Robert L. Ramsay","100",53.2,"A. C. Schiffler ","200",46.8,0,0,0,2
"451",1940,"West Virginia","2","Jennings Randolph","100",57.5,"H. Sharp Summers ","200",42.5,0,0,0,2
"452",1940,"West Virginia","3","Andrew Edmiston Jr.","100",56.6,"H. Roy Waugh ","200",43.4,0,0,0,2
"453",1940,"West Virginia","4","George William Johnson","100",52.7,"Harry O. Hiteshew ","200",47.3,0,0,0,2
"454",1940,"West Virginia","5","John Kee","100",62.9,"Hartley Sanders ","200",37.1,0,0,0,2
"455",1940,"West Virginia","6","Joe L. Smith","100",61.7,"R. E. O'Connor ","200",38.3,0,0,0,2
"456",1942,"West Virginia","1","A. C. Schiffler","200",54.7,"Robert L. Ramsay ","100",45.3,0,0,0,2
"457",1942,"West Virginia","2","Jennings Randolph","100",50.2,"Charles G. Baker ","200",49.8,0,0,1,2
"458",1942,"West Virginia","3","Edward G. Rohrbough","200",53.2,"Andrew Edmiston, Jr. ","100",46.8,0,0,0,2
"459",1942,"West Virginia","4","Hubert S. Ellis","200",52.2,"George William Johnson ","100",47.8,0,0,0,2
"460",1942,"West Virginia","5","John Kee","100",57.2,"B. F. Howard ","200",42.8,0,0,0,2
"461",1942,"West Virginia","6","Joe L. Smith","100",51.8,"Houston G. Young ","200",48.2,0,0,0,2
"462",1944,"West Virginia","1","Matthew M. Neely","100",50.4,"A. C. Schiffler ","200",49.6,0,0,1,2
"463",1944,"West Virginia","2","Jennings Randolph","100",54.1,"Melvin C. Muntzing ","200",45.9,0,0,0,2
"464",1944,"West Virginia","3","Cleveland M. Bailey","100",52.5," | v Edward G. Rohrbough ","200",47.5,0,0,0,2
"465",1944,"West Virginia","4","Hubert S. Ellis","200",51.2,"E. B. Pennybacker ","100",48.8,0,0,0,2
"466",1944,"West Virginia","5","John Kee","100",61.7,"Hartley Sanders ","200",38.3,0,0,0,2
"467",1944,"West Virginia","6","E. H. Hedrick","100",58.3,"J. W. Maxwell ","200",41.7,0,0,0,2
"468",1946,"West Virginia","1","Francis J. Love","200",53.1,"
Matthew M. Neely ","100",46.9,0,0,0,2
"469",1946,"West Virginia","2","Melvin C. Snyder","200",51.4,"
Jennings Randolph ","100",48.6,0,0,0,2
"470",1946,"West Virginia","3","Edward G. Rohrbough","200",51.5,"
Cleveland M. Bailey ","100",48.5,0,0,0,2
"471",1946,"West Virginia","4","Hubert S. Ellis","200",52.6,"
M. G. Burnside ","100",47.4,0,0,0,2
"472",1946,"West Virginia","5","John Kee","100",56.9,"
Hartley Sanders ","200",43.1,0,0,0,2
"473",1946,"West Virginia","6","E. H. Hedrick","100",52.9,"
Harold H. Neff ","200",47.1,0,0,0,2
"474",1948,"West Virginia","1","Robert L. Ramsay","100",57.3,"Francis J. Love ","200",42.7,0,0,0,2
"475",1948,"West Virginia","2","Harley O. Staggers","100",54.7,"Melvin C. Snyder ","200",45.3,0,0,0,2
"476",1948,"West Virginia","3","Cleveland M. Bailey","100",57.1,"Edward G. Rohrbough ","200",42.9,0,0,0,2
